Site,GH,ID,LENGTH,WIDTH,elongation,obj_length,X1,Y1,Z1,X2,Y2,Z2
HF,7a_Va_BEF7,672,,,,0.084,13.04,11.15,-3.14,12.96,11.13,-3.15
HF,7a_Va_BEF7,543,,,,0.029,13.62,11.22,-2.91,13.60,11.23,-2.92
HF,7a_Va_BEF7,583,,,,0.016,13.74,11.20,-2.85,13.73,11.18,-2.86
HF,7a_Va_BEF7,582,,,,0.033,13.71,11.20,-2.85,13.68,11.19,-2.87
HF,7a_Va_BEF7,574,,,,0.017,13.69,11.18,-2.88,13.68,11.16,-2.89
HF,7a_Va_BEF7,575,,,,0.023,13.71,11.23,-2.83,13.70,11.21,-2.84
HF,7a_Va_BEF7,576,,,,0.013,13.73,11.23,-2.83,13.72,11.22,-2.84
HF,7a_Va_BEF7,577,,,,0.015,13.73,11.23,-2.83,13.73,11.22,-2.84
HF,7a_Va_BEF7,584,,,,0.014,13.69,11.18,-2.88,13.69,11.16,-2.89
HF,7a_Va_BEF7,1062,,,,0.050,12.42,11.25,-3.24,12.44,11.21,-3.27
HF,7a_Va_BEF7,746,,,,0.018,12.57,11.35,-3.10,12.57,11.33,-3.14
HF,7a_Va_BEF7,740,,,,0.014,12.89,11.05,-3.15,12.88,11.06,-3.16
HF,7a_Va_BEF7,741,,,,0.030,12.63,11.19,-3.16,12.62,11.16,-3.18
HF,7a_Va_BEF7,742,,,,0.025,12.52,11.22,-3.18,12.54,11.22,-3.19
HF,7a_Va_BEF7,737,,,,0.016,12.79,11.26,-3.10,12.78,11.25,-3.11
HF,7a_Va_BEF7,747,,,,0.025,12.62,11.38,-3.08,12.60,11.37,-3.08
HF,7a_Va_BEF7,749,,,,0.027,12.69,11.40,-3.08,12.66,11.41,-3.09
HF,7a_Va_BEF7,751,,,,0.008,12.50,11.27,-3.18,12.50,11.28,-3.18
HF,7a_Va_BEF7,745,,,,0.016,12.63,11.29,-3.11,12.62,11.28,-3.15
HF,7a_Va_BEF7,732,,,,0.059,12.65,11.35,-3.08,12.65,11.41,-3.09
HF,7a_Va_BEF7,734,,,,0.024,12.73,11.39,-3.07,12.73,11.36,-3.08
